from_title,from_date,to_title,to_date,years_between,long_shift_score,sentiment_delta,from_stance,to_stance,from_prediction_style,to_prediction_style,increased_themes,decreased_themes,explanation
How Does An Inefficient Market Get That Way,1994-07-15,On Regulation,2011-03-02,16.6,1.3801,-1.7143,opportunistic,alarmed,warning,forecasting,"politics (+18.63), macro (+4.86), cycles (+4.46)","credit (-24.65), valuation (-10.33), risk (-3.49)","stance moves from opportunistic to alarmed; prediction posture moves from warning to forecasting; later memo is materially more defensive / bearish in tone; greater emphasis on politics (+18.63), macro (+4.86), cycles (+4.46); less emphasis on credit (-24.65), valuation (-10.33), risk (-3.49)"
You Can’t Eat IRR,2006-07-12,Uncertainty II,2020-05-28,13.9,1.3657,-1.4286,constructive,humble,warning,forecasting,"macro (+4.15), prediction (+3.47), uncertainty (+2.91)","valuation (-22.56), credit (-1.48), psychology (-0.27)","stance moves from constructive to humble; prediction posture moves from warning to forecasting; later memo is materially more defensive / bearish in tone; greater emphasis on macro (+4.15), prediction (+3.47), uncertainty (+2.91); less emphasis on valuation (-22.56), credit (-1.48), psychology (-0.27)"
How's the Market?,1999-04-15,On Regulation,2011-03-02,11.9,1.3544,-1.7143,constructive,alarmed,forecasting,forecasting,"politics (+18.63), risk (+4.86), cycles (+4.46)","rates (-8.01), valuation (-6.96), macro (-3.55)","stance moves from constructive to alarmed; later memo is materially more defensive / bearish in tone; greater emphasis on politics (+18.63), risk (+4.86), cycles (+4.46); less emphasis on rates (-8.01), valuation (-6.96), macro (-3.55)"
How Does An Inefficient Market Get That Way,1994-07-15,The Folly of Certainty,2024-07-17,30.0,1.3172,-1.1071,opportunistic,humble,warning,forecasting,"rates (+9.55), macro (+8.68), politics (+3.47)","credit (-25.06), valuation (-10.31), risk (-7.92)","stance moves from opportunistic to humble; prediction posture moves from warning to forecasting; later memo is materially more defensive / bearish in tone; greater emphasis on rates (+9.55), macro (+8.68), politics (+3.47); less emphasis on credit (-25.06), valuation (-10.31), risk (-7.92)"
"We're Not In 1999 Anymore, Toto",2000-12-31,You Can’t Eat IRR,2006-07-12,5.5,1.3145,1.0,neutral,constructive,forecasting,warning,"valuation (+23.80), credit (+1.89), prediction (+0.27)",risk (-7.27),"stance moves from neutral to constructive; prediction posture moves from forecasting to warning; later memo is materially more constructive / bullish in tone; greater emphasis on valuation (+23.80), credit (+1.89), prediction (+0.27); less emphasis on risk (-7.27)"
The Value of Predictions II (or 'Give That Man a Cigar'),1996-07-22,How Quickly They Forget,2011-05-25,14.8,1.3112,-1.3,constructive,alarmed,forecasting,warning,"risk (+11.47), credit (+10.73), psychology (+3.44)","prediction (-18.51), rates (-4.30), macro (-2.72)","stance moves from constructive to alarmed; prediction posture moves from forecasting to warning; later memo is materially more defensive / bearish in tone; greater emphasis on risk (+11.47), credit (+10.73), psychology (+3.44); less emphasis on prediction (-18.51), rates (-4.30), macro (-2.72)"
"We're Not In 1999 Anymore, Toto",2000-12-31,Political Reality,2016-08-17,15.6,1.3051,1.0,neutral,constructive,forecasting,forecasting,"politics (+6.43), macro (+6.07), valuation (+1.61)",risk (-8.36),"stance moves from neutral to constructive; later memo is materially more constructive / bullish in tone; greater emphasis on politics (+6.43), macro (+6.07), valuation (+1.61); less emphasis on risk (-8.36)"
"We're Not In 1999 Anymore, Toto",2000-12-31,Mr. Market Miscalculates,2024-08-22,23.6,1.2977,0.871,neutral,constructive,forecasting,forecasting,"psychology (+6.51), macro (+5.54), rates (+5.54)",risk (-9.43),"stance moves from neutral to constructive; later memo is materially more constructive / bullish in tone; greater emphasis on psychology (+6.51), macro (+5.54), rates (+5.54); less emphasis on risk (-9.43)"
How Quickly They Forget,2011-05-25,Political Reality,2016-08-17,5.2,1.2961,1.3,alarmed,constructive,warning,forecasting,"politics (+6.43), macro (+5.13), technology_ai (+0.18)","credit (-13.14), risk (-11.13), valuation (-4.34)","stance moves from alarmed to constructive; prediction posture moves from warning to forecasting; later memo is materially more constructive / bullish in tone; greater emphasis on politics (+6.43), macro (+5.13), technology_ai (+0.18); less emphasis on credit (-13.14), risk (-11.13), valuation (-4.34)"
What’s Your Game Plan?,2003-09-05,On Regulation,2011-03-02,7.5,1.2959,-1.5404,constructive,alarmed,preparation,forecasting,"politics (+18.63), macro (+4.86), risk (+3.81)","credit (-2.74), valuation (-0.29)","stance moves from constructive to alarmed; prediction posture moves from preparation to forecasting; later memo is materially more defensive / bearish in tone; greater emphasis on politics (+18.63), macro (+4.86), risk (+3.81); less emphasis on credit (-2.74), valuation (-0.29)"
